CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,New Georeferenced Column,count
247853895,43,BRONX,7/11/2022,9:09:00,,(null),COMPLETED,(null),,0,N.Y. POLICE DEPT,105,FELONY,INSIDE,ROBBERY,(null),PATROL BORO BRONX,361,"ROBBERY,BANK",BANK,7/11/2022,(null),25-44,BLACK,M,,UNKNOWN,UNKNOWN,D,1022682,242998,40.833567,-73.861118,"(40.833567, -73.861118)",POINT (-73.861118 40.833567),1
250722124,67,BROOKLYN,1/1/2021,12:00:00,9/7/2022,12:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,104,FELONY,INSIDE,RAPE,(null),PATROL BORO BKLYN SOUTH,155,RAPE 2,RESIDENCE - APT. HOUSE,9/7/2022,(null),25-44,UNKNOWN,U,,<18,BLACK,F,997843,175671,40.64885075,-73.95101651,"(40.6488507469884, -73.951016510623)",POINT (-73.951016510623 40.6488507469884),1
239511545,120,STATEN ISLAND,12/24/2021,8:00:00,1/3/2022,8:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,(null),PATROL BORO STATEN ISLAND,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,1/21/2022,(null),(null),(null),(null),,18-24,ASIAN / PACIFIC ISLANDER,M,960911,165085,40.619768,-74.08407,"(40.619768, -74.08407)",POINT (-74.08407 40.619768),1
247992275,115,QUEENS,6/15/2015,0:01:00,7/13/2022,17:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO QUEENS NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,7/13/2022,(null),(null),(null),(null),,45-64,WHITE,M,1013677,212463,40.749791,-73.893792,"(40.749791, -73.893792)",POINT (-73.893792 40.749791),1
239602232,75,BROOKLYN,1/1/2018,9:00:00,4/14/2021,23:59:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,FRONT OF,THEFT-FRAUD,(null),PATROL BORO BKLYN NORTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,1/24/2022,(null),(null),(null),(null),,65+,BLACK,M,1022153,184000,40.671636,-73.863359,"(40.671636, -73.863359)",POINT (-73.863359 40.671636),1
241344242,114,QUEENS,10/1/1997,13:00:00,6/1/2006,8:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,116,FELONY,(null),SEX CRIMES,(null),PATROL BORO QUEENS NORTH,168,SODOMY 1,RESIDENCE - APT. HOUSE,2/27/2022,(null),45-64,BLACK,M,,25-44,ASIAN / PACIFIC ISLANDER,F,1007788,219633,40.76949512,-73.91502417,"(40.7694951184418, -73.9150241703895)",POINT (-73.9150241703895 40.7694951184418),1
238607919,63,BROOKLYN,1/1/2022,4:00:00,1/1/2022,4:30:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO BKLYN SOUTH,349,"LARCENY,PETIT OF LICENSE PLATE",GAS STATION,1/1/2022,(null),UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,D,1004210,170473,40.634565,-73.928086,"(40.634565, -73.928086)",POINT (-73.928086 40.634565),1
240305135,33,MANHATTAN,11/4/2021,12:00:00,,(null),COMPLETED,(null),,0,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,(null),PATROL BORO MAN NORTH,347,PETIT LARCENY-CHECK FROM MAILB,RESIDENCE - APT. HOUSE,2/8/2022,(null),UNKNOWN,UNKNOWN,U,,45-64,WHITE HISPANIC,F,1001602,246487,40.843208,-73.937286,"(40.843208, -73.937286)",POINT (-73.937286 40.843208),1
241477401,77,BROOKLYN,11/16/2021,11:00:00,1/26/2022,14:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,(null),PATROL BORO BKLYN NORTH,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,3/2/2022,(null),25-44,BLACK,M,,45-64,BLACK,F,1005418,184431,40.672873,-73.923688,"(40.672873, -73.923688)",POINT (-73.923688 40.672873),1
241005459,5,MANHATTAN,12/13/2021,9:00:00,1/26/2022,9:00:00,COMPLETED,(null),,0,N.Y. POLICE DEPT,112,FELONY,INSIDE,THEFT-FRAUD,(null),PATROL BORO MAN SOUTH,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,2/21/2022,(null),(null),(null),(null),,65+,ASIAN / PACIFIC ISLANDER,M,985826,198659,40.711951,-73.994313,"(40.711951, -73.994313)",POINT (-73.994313 40.711951),1
